name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Bacivèr,Bacivèr,FR,42.83468333333333,0.8206166666666667,2107.0m,5,Bacivèr,0.8206166666666667,42.83468333333333,0.8216666666666667,42.833333333333336,0.8188888888888889,42.831944444444446,0.8233333333333334,42.836111111111116,1919,2114,17,16,185
Bourdallé,Bourdall,FR,42.941583333333334,0.8580833333333333,1055.0m,8,Bourdallé,0.8580833333333333,42.941583333333334,0.8580555555555556,42.94166666666667,0.8552777777777778,42.93888888888889,0.8608333333333333,42.94444444444444,931,1081,21,21,140
Canau Grande,CanauGra,FR,42.841233333333335,0.8474166666666666,2202.0m,9,Canau Grande,0.8474166666666666,42.841233333333335,0.8469444444444444,42.84111111111111,0.8447222222222223,42.83833333333334,0.8497222222222223,42.84388888888889,1961,2201,19,21,230
Cap de Bassias,CapdeBas,FR,42.84775,0.5688333333333334,1890.0m,10,Cap de Bassias,0.5688333333333334,42.84775,0.5675,42.84916666666667,0.5661111111111111,42.84638888888889,0.5702777777777778,42.85055555555556,1796,1927,16,16,121
Cap de Gauch,CapdeGau,FR,42.870783333333335,0.8356333333333333,2148.0m,11,Cap de Gauch,0.8356333333333333,42.870783333333335,0.8355555555555555,42.87111111111111,0.8327777777777777,42.86833333333333,0.8383333333333334,42.87361111111111,1772,2138,21,20,356
Cap de Hont nère,CapdeHon,FR,42.816766666666666,0.45535000000000003,1916.0m,12,Cap de Hont nère,0.45535000000000003,42.816766666666666,0.45444444444444443,42.81722222222222,0.4525,42.81444444444445,0.4572222222222222,42.81944444444444,1781,1911,18,19,120
Cap de la Coume de Mourdère,CapdelaC,FR,42.83625,0.5708333333333333,1830.0m,13,Cap de la Coume de Mourdère,0.5708333333333333,42.83625,0.5700000000000001,42.83638888888889,0.5680555555555555,42.83361111111111,0.5727777777777778,42.83888888888889,1690,1848,18,20,148
Cap de la Lit,CapdelaL,FR,42.8456,0.4869,1970.0m,14,Cap de la Lit,0.4869,42.8456,0.4861111111111111,42.84583333333333,0.48416666666666663,42.84305555555556,0.4888888888888889,42.848333333333336,1818,1981,18,20,153
Cap de la Montagnette,CapdelaM,FR,42.82075,0.5786333333333334,1708.0m,15,Cap de la Montagnette,0.5786333333333334,42.82075,0.5772222222222222,42.82222222222222,0.5758333333333333,42.81944444444444,0.5800000000000001,42.82361111111111,1571,1736,16,16,155
Cap de la Pique,CapdelaP,FR,42.84056666666667,0.8016666666666666,2034.0m,17,Cap de la Pique,0.8016666666666666,42.84056666666667,0.8013888888888889,42.840833333333336,0.7988888888888889,42.838055555555556,0.8041666666666667,42.843333333333334,1768,2028,20,20,250
Cap de la Pène,CapdelaP,FR,42.81263333333333,0.5784333333333334,1588.0m,18,Cap de la Pène,0.5784333333333334,42.81263333333333,0.5780555555555555,42.81388888888889,0.5755555555555556,42.81111111111111,0.5808333333333333,42.81527777777778,1383,1621,20,16,228
Cap de Montcaup,CapdeMon,FR,42.76956666666667,0.4856166666666667,2025.0m,21,Cap de Montcaup,0.4856166666666667,42.76956666666667,0.48416666666666663,42.768055555555556,0.48277777777777775,42.766666666666666,0.48694444444444446,42.770833333333336,1856,2143,16,16,277
Cap de Monts Sec,CapdeMon,FR,42.86825,0.67635,1861.0m,22,Cap de Monts Sec,0.67635,42.86825,0.6761111111111111,42.86805555555556,0.6736111111111112,42.86555555555556,0.6788888888888889,42.87083333333334,1627,1865,20,20,228
Cap de Payssas,CapdePay,FR,42.98565,0.7706999999999999,922.0m,23,Cap de Payssas,0.7706999999999999,42.98565,0.7711111111111111,42.98583333333333,0.7683333333333333,42.98305555555556,0.7736111111111111,42.98833333333334,768,938,20,20,160
Cap de Pouy,CapdePou,FR,42.78406666666667,0.5434166666666667,1802.0m,24,Cap de Pouy,0.5434166666666667,42.78406666666667,0.5430555555555556,42.78416666666667,0.5405555555555556,42.78138888888889,0.5458333333333334,42.786944444444444,1613,1812,20,21,189
Cap de Pouy de Hourmigué,CapdePou,FR,42.9191,0.5966666666666666,1685.0m,25,Cap de Pouy de Hourmigué,0.5966666666666666,42.9191,0.5972222222222222,42.91888888888889,0.5944444444444444,42.91638888888889,0.5994444444444444,42.92166666666667,1547,1687,19,20,130
Cap de Pène Soulit,CapdePèn,FR,42.78945,0.46185,2031.0m,26,Cap de Pène Soulit,0.46185,42.78945,0.46166666666666667,42.78944444444445,0.45916666666666667,42.78666666666667,0.46444444444444444,42.79222222222222,1839,2027,20,21,178
Cap de Salière,CapdeSal,FR,42.82756666666667,0.5745166666666666,1774.0m,27,Cap de Salière,0.5745166666666666,42.82756666666667,0.5755555555555556,42.82777777777778,0.5727777777777778,42.825,0.5772222222222222,42.83027777777778,1589,1767,17,20,168
Cap de Sarrat,CapdeSar,FR,42.78,0.48833333333333334,1731.0m,28,Cap de Sarrat,0.48833333333333334,42.78,0.48694444444444446,42.77861111111111,0.4855555555555556,42.77722222222222,0.4897222222222222,42.78138888888889,1627,1799,16,16,162
Cap de Serrède,CapdeSer,FR,42.86128333333333,0.53425,1855.0m,29,Cap de Serrède,0.53425,42.86128333333333,0.5333333333333333,42.86222222222222,0.5313888888888889,42.85944444444445,0.5361111111111111,42.86416666666667,1725,1870,18,18,135
